CANONICAL_SMILES,REFERENCE_ID,NAME,DOI,LINK,ORGANISM,ORGANISM_PART,COCONUT_ID,MOL_FILENAME,STRUCTURAL_COMMENTS,GEO_LOCATION,LOCATION
CCCCC[C@@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,134,Marine,10.1111/jphp.12138,http://www.inflamnat.com/#/main/search/detail?id=134,Marine,,,,,,
O=C(/C=C/CCl)O[C@@H]1COC(=O)C1,189,Marine bacteria,10.1016/j.chembiol.2012.03.014,http://www.inflamnat.com/#/main/search/detail?id=189,Marine bacteria,,,,,,
CCOC(=O)C[C@H](O)COC(=O)/C=C/CCl,190,Marine bacteria,10.1016/j.chembiol.2012.03.014,http://www.inflamnat.com/#/main/search/detail?id=190,Marine bacteria,,,,,,
COC(=O)C[C@H](O)COC(=O)/C=C/CCl,245,Marine bacteria,10.1016/j.chembiol.2012.03.014,http://www.inflamnat.com/#/main/search/detail?id=245,Marine bacteria,,,,,,
CCCCCCCCC(=O)CCSSCCC(=O)C[C@H](CCCCCC)SC,468,Marine,10.1021/acs.jnatprod.5b01031,http://www.inflamnat.com/#/main/search/detail?id=468,Marine,,,,,,
CCCCCC/C=C/C(=O)CCSSCCC(=O)/C=C/CCCCCC,469,Marine,10.1021/acs.jnatprod.5b01031,http://www.inflamnat.com/#/main/search/detail?id=469,Marine,,,,,,
CCCCCCCCC(=O)CCSSCCC(=O)CCCCCCCC,470,Marine,10.1021/acs.jnatprod.5b01031.s001,http://www.inflamnat.com/#/main/search/detail?id=470,Marine,,,,,,
CCCCCCC1CC(=O)CCSS1,471,Marine,10.1021/acs.jnatprod.5b01031.s001,http://www.inflamnat.com/#/main/search/detail?id=471,Marine,,,,,,
CCCCCC/C=C/C(=O)CCSSCCC(=O)CCCCCCCC,472,Marine,10.1021/acs.jnatprod.5b01031.s001,http://www.inflamnat.com/#/main/search/detail?id=472,Marine,,,,,,
CCCCCC/C=C/C(=O)CCSSCCC(=O)CC(CCCCCC)SC,473,Marine,10.1021/acs.jnatprod.5b01031.s001,http://www.inflamnat.com/#/main/search/detail?id=473,Marine,,,,,,
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,354,Actinidiaceae,10.1007/bf02977632,http://www.inflamnat.com/#/main/search/detail?id=354,Actinidiaceae,,,,,,
O=C(O)CCCC[C@H]1CCSS1,491,Animal,10.4049/jimmunol.176.1.111,http://www.inflamnat.com/#/main/search/detail?id=491,Animal,,,,,,
C/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,293,Araliaceae,10.1142/s0192415x14500931,http://www.inflamnat.com/#/main/search/detail?id=293,Araliaceae,,,,,,
CCCCCCCCCCCC/C=C/[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CC/C=C(\C)CCCCCCCCC,67,Fungi,10.1021/acs.jafc.5b05931,http://www.inflamnat.com/#/main/search/detail?id=67,Fungi,,,,,,
CCCCCCCCC/C=C/CC/C=C/[C@@H](O)C(CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCCCC,68,Fungi,10.1021/acs.jafc.5b05931,http://www.inflamnat.com/#/main/search/detail?id=68,Fungi,,,,,,
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,247,Widely distributed in plant,10.1016/j.brainresbull.2017.04.002,http://www.inflamnat.com/#/main/search/detail?id=247,Widely distributed in plant,,,,,,
COC(=O)C1(C(=O)OC)OC(=O)C2=C1C1=C(OC)C(OC)=CC3=C1C(=C2)N(C)CC3,598,Papaveraceae  ,10.1021/acs.orglett.8b00400,http://www.inflamnat.com/#/main/search/detail?id=598,Papaveraceae  ,,,,,,
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCC(=O)CNC(=O)C1=NO[C@]3(C=C(Br)C(OC)=C(Br)[C@@H]3O)C1)=NO2,6,Marine,10.3109/08923973.2012.679984,http://www.inflamnat.com/#/main/search/detail?id=6,Marine,,,,,,
COC1=C(OC)C2=C[N+]3=C(C=C2C=C1)C1=C(C=C2OCOC2=C1)CC3,24,Widely distributed in plant,10.1007/s10753-014-9909-y,http://www.inflamnat.com/#/main/search/detail?id=24,Widely distributed in plant,,,,,,
C[N+](C)(C)CC(=O)[O-],30,Chenopodiaceae,10.1002/mnfr.201400307,http://www.inflamnat.com/#/main/search/detail?id=30,Chenopodiaceae,,,,,,
CN1CCC2=C(C=C3OCOC3=C2)[C@@H]1[C@@H]1OC(=O)C2=C1C=CC1=C2OCO1,39,Compositae,10.1016/j.jep.2017.09.024,http://www.inflamnat.com/#/main/search/detail?id=39,Compositae,,,,,,
CC(=O)CCCCCCCCCCC1CCC(O)C(C)N1,45,Fabaceae,10.1016/j.neuropharm.2011.10.002,http://www.inflamnat.com/#/main/search/detail?id=45,Fabaceae,,,,,,
COC1=C(OC)C2=C(C=C1)C1=CC=C3C=C4OCOC4=CC3=C1[N+](C)=C2,54,"Papaveraceae, Fumariaceae, Routaceae, Ranunculaceae|Meliaceae",10.1016/j.phymed.2012.04.001,http://www.inflamnat.com/#/main/search/detail?id=54,Papaveraceae| Fumariaceae| Routaceae| Ranunculaceae|Meliaceae,,,,,,
COC1=C(OC)C(OC)=C2C(=C1)CC[C@H](NC(C)=O)C1=CC(=O)C(OC)=CC=C12,62,Colchicaceae,10.4049/jimmunol.159.7.3531,http://www.inflamnat.com/#/main/search/detail?id=62,Colchicaceae,,,,,,
NC1=C2N=CN([C@@H]3O[C@H](CO)C[C@H]3O)C2=NC=N1,65,Clabicepitaceae,10.1016/j.ejphar.2017.10.029,http://www.inflamnat.com/#/main/search/detail?id=65,Clabicepitaceae,,,,,,
CC1=CC=C2C=C[C@@]3([C@H](C)O)O[C@H]4[C@H]([C@@H]3C3=CC([C@@H]5C=CC6=CC=C(C)N6[C@@H]5C)=C(C)N3[C@@H]4C)N12,76,Fungi,10.1021/acs.orglett.6b00549,http://www.inflamnat.com/#/main/search/detail?id=76,Fungi,,,,,,
COC1=CC2=C(C=C1O)[C@@H]1CC3=CC=C(OC)C(O)=C3CN1CC2,106,Annonaceae,10.1177/1934578x1701201018,http://www.inflamnat.com/#/main/search/detail?id=106,Annonaceae,,,,,,
CON1C(=O)[C@@]2(C[C@@H]3N=C([C@@](C)(O)CC(C)[C@]45ON4[C@H]4C[C@@]6(C(=O)N(OC)C7=C6C=CC=C7)[C@H]6C[C@@H]5[C@@H]4CO6)[C@@H]4C[C@H]2OC[C@H]34)C2=C1C=CC=C2,151,Loganiaceae  ,10.1021/np4005536,http://www.inflamnat.com/#/main/search/detail?id=151,Loganiaceae  ,,,,,,
CC1=C2OC(C)(C)C=CC2=C2NC3=C(C=CC=C3)C2=C1,160,Rutaceae,10.2147/dddt.s115135,http://www.inflamnat.com/#/main/search/detail?id=160,Rutaceae,,,,,,
COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1,173,Zygophyllaceae,10.1016/j.bbrc.2017.05.126,http://www.inflamnat.com/#/main/search/detail?id=173,Zygophyllaceae,,,,,,
CC[C@H]1CN2CCC3=C(NC4=C3C=CC=C4)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,187,Rubiaceae,10.3892/mmr.2012.1135,http://www.inflamnat.com/#/main/search/detail?id=187,Rubiaceae,,,,,,
OCC1=CNC2=C1C=CC=C2,197,Cruciferae,10.1016/j.fct.2013.03.040,http://www.inflamnat.com/#/main/search/detail?id=197,Cruciferae,,,,,,
O=C1N=CN=CN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,326,Fungi,10.1016/j.phymed.2013.06.005,http://www.inflamnat.com/#/main/search/detail?id=326,Fungi,,,,,,
O=C(/C=C/C=C/C1=CC2=C(C=C1)OCO2)N1CCCCC1,323,Piperaceae,10.1016/j.cellimm.2013.09.001,http://www.inflamnat.com/#/main/search/detail?id=323,Piperaceae,,,,,,
COC1=C(OC)C(OC)=CC(/C=C/C(=O)N2CCC=CC2=O)=C1,324,Piperaceae,10.1016/j.bcp.2015.03.014,http://www.inflamnat.com/#/main/search/detail?id=324,Piperaceae,,,,,,
O=C(NCCC1=CC=CC=C1)C1=CC=CC=C1,348, Lauraceae,10.1016/j.cbi.2015.01.029,http://www.inflamnat.com/#/main/search/detail?id=348, Lauraceae,,,,,,
C[N+]1=CC2=C3OCOC3=CC=C2C2=C1C1=C(C=C2)C=C2OCOC2=C1,352,Widely distributed in plant,10.1016/j.ejphar.2012.05.039,http://www.inflamnat.com/#/main/search/detail?id=352,Widely distributed in plant,,,,,,
COC1=C2C3=C(C=C1O)C(=O)N(C)C3=CC1=C2C=CC=C1,356,Saururaceae,10.1016/j.intimp.2009.11.014,http://www.inflamnat.com/#/main/search/detail?id=356,Saururaceae,,,,,,
